StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_6_TEXT,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q10,Q10_6_TEXT,Q11_1,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13_1,Q14,Q15,Q16,Q16_4_TEXT,Q17,Q18,Q18_7_TEXT,Q19,Q20,Q21,Q22,Q23,visit_frequency,spending_level,motivation_type
2025-11-12 14:19:58,2025-11-12 14:21:47,0,50.213.53.49,100,109,1,2025-11-12 14:21:48,R_6ufE5byeN4kmlwJ,,,,,37.6844,-122.438,anonymous,EN,5,6,Nescafe,5,,,,,,,,,,,,,,,,,,,,,,,3,2,,Hayward,1,,7,6,1,4,"1,2,4",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-12 15:46:51,2025-11-12 15:50:00,0,134.154.131.27,100,189,1,2025-11-12 15:50:01,R_1irSE6iDulUbLqn,,,,,37.6403,-122.0667,anonymous,EN,4,"2,5",,1,4,1,"1,2,5",1,1,0,2,4,5,0,4,1,,2,2,1,3,4,6,5,4,6,2,2,,94541,1,,3,6,5,2,"1,3,4",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-12 16:56:37,2025-11-12 17:07:02,0,174.249.146.85,100,624,1,2025-11-12 17:07:02,R_1sSbw9hr4EILwze,,,,,37.8229,-122.3713,anonymous,EN,4,2,,1,4,3,3,2,1,,4,2,5,,5,1,,5,2,6,4,5,1,3,2,6,1,1,,94803,1,,1,1,5,6,"2,3,6",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-13 17:31:57,2025-11-13 17:34:05,0,134.154.62.249,100,127,1,2025-11-13 17:34:06,R_58BecwwSID7M1YI,,,,,37.6736,-122.0944,anonymous,EN,1,"2,3,4",,5,,,,,,,,,,,,,,,,,,,,,,,4,1,,94542,4,,1,6,5,4,"1,3,6",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-13 20:20:36,2025-11-13 20:25:00,0,172.59.161.254,100,263,1,2025-11-13 20:25:00,R_7Gs5om6yKBfmCcE,,,,,37.3209,-121.9126,anonymous,EN,5,2,,1,4,2,1,2,1,5,5,4,3,5,5,4,,2,4,3,2,1,6,5,0,6,3,2,,95136,1,,1,5,5,6,"1,4,7",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-14 13:55:53,2025-11-14 14:02:29,0,24.4.21.136,100,395,1,2025-11-14 14:02:30,R_5KxmenWdud5BLxz,,,,,37.5742,-122.325,anonymous,EN,2,"5,6",Philz,5,,,,,,,,,,,,,,,,,,,,,,,3,2,,94526,7,student,7,5,5,4,"1,5,6",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-14 17:28:31,2025-11-14 17:31:23,0,134.154.75.112,100,172,1,2025-11-14 17:31:24,R_3Lba4WNm8WYSNG0,,,,,37.6609,-122.0491,anonymous,EN,4,2,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,,94542,1,,1,5,5,4,4,How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-14 17:32:31,2025-11-14 17:33:58,0,134.154.77.90,100,87,1,2025-11-14 17:33:59,R_7g4S9hCBTlsWH0N,,,,,37.7428,-122.1745,anonymous,EN,4,"2,5",,5,,,,,,,,,,,,,,,,,,,,,,,2,1,,94542,1,,1,5,5,4,6,How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-14 19:55:18,2025-11-14 19:57:28,0,67.169.44.107,100,130,1,2025-11-14 19:57:28,R_1mOgHBrzBPVLSFv,,,,,37.9959,-121.7011,anonymous,EN,4,5,,5,,,,,,,,,,,,,,,,,,,,,,,5,2,,94531,1,,6,6,3,6,6,How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-14 22:23:47,2025-11-14 22:25:26,0,73.158.65.116,100,99,1,2025-11-14 22:25:27,R_7Ug9EmSEGpK4rnC,,,,,37.5958,-122.0191,anonymous,EN,4,"2,3",,5,,,,,,,,,,,,,,,,,,,,,,,2,1,,94542,2,,7,5,5,4,"2,3,6",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-15 11:35:53,2025-11-15 11:40:44,0,174.249.146.125,100,291,1,2025-11-15 11:40:45,R_7jAQzVH0zNeDV9T,,,,,37.9684,-122.2896,anonymous,EN,3,"2,3,5",,4,4,2,"1,3",2,1,5,5,5,4,3,5,2,,4,1,2,4,3,5,6,1,6,4,1,,94564,2,,5,5,1,6,"1,3,4",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-16 12:19:02,2025-11-16 12:20:49,0,134.154.49.246,100,107,1,2025-11-16 12:20:50,R_1QDjzrLhVQ3seHq,,,,,37.8371,-122.2773,anonymous,EN,3,"2,5",,5,,,,,,,,,,,,,,,,,,,,,,,2,2,,94542,4,,7,6,5,4,"1,4",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-17 13:30:39,2025-11-17 13:35:49,0,98.35.113.43,100,309,1,2025-11-17 13:35:50,R_1BOXxVFqQkloTKb,,,,,37.7688,-122.262,anonymous,EN,2,"1,2",,2,2,4,"1,2,5","2,3",2,5,5,3,4,5,5,1,,5,,6,,,,,4,6,2,2,,94542,7,,7,6,5,4,6,How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-17 14:29:25,2025-11-17 14:30:33,0,134.154.78.123,100,67,1,2025-11-17 14:30:33,R_3v1cw9CestN236G,,,,,37.7428,-122.1745,anonymous,EN,2,"2,3,4",,5,,,,,,,,,,,,,,,,,,,,,,,2,1,,94542,1,,1,6,5,4,3,How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-17 15:46:53,2025-11-17 15:48:53,0,98.35.113.43,100,120,1,2025-11-17 15:48:53,R_5R1WYnEVKHk3JS1,,,,,37.7688,-122.262,anonymous,EN,3,2,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,,94542,4,,2,5,5,4,4,How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-17 17:37:57,2025-11-17 17:40:22,0,98.35.113.43,100,145,1,2025-11-17 17:40:22,R_5FhWvSoV3RIU5jM,,,,,37.7688,-122.262,anonymous,EN,5,6,Deccan Morsel,5,,,,,,,,,,,,,,,,,,,,,,,3,2,,94542,4,,1,6,5,4,"2,5,6",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-17 20:08:10,2025-11-17 20:10:44,0,146.75.154.136,100,154,1,2025-11-17 20:10:45,R_6pXAvdFxso4LLY5,,,,,38.028,-121.8847,anonymous,EN,4,"1,2",,4,4,2,"3,4,5",2,1,0,5,5,3,,1,3,,4,,4,,6,,,3,5,3,2,,,1,,7,2,5,"1,2,6","1,3,4",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-17 20:09:38,2025-11-17 20:12:53,0,67.169.44.107,100,194,1,2025-11-17 20:12:53,R_6TzG4BmCz6jbmTf,,,,,37.9959,-121.7011,anonymous,EN,3,5,,3,3,1,"1,4",2,1,5,5,5,5,1,4,1,,5,,6,,,4,5,5,6,2,2,,94531,1,,2,5,5,6,"1,4",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-17 20:13:50,2025-11-17 20:15:11,0,49.36.10.17,100,81,1,2025-11-17 20:15:12,R_9rZ2IOdkif48atQ,,,,,19.0748,72.8856,anonymous,EN,5,6,"Philz ",5,,,,,,,,,,,,,,,,,,,,,,,3,2,,94566,1,,7,5,5,7,"1,3",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-17 20:15:52,2025-11-17 20:18:20,0,172.59.129.74,100,147,1,2025-11-17 20:18:20,R_3Sf2hUCJdNkD0u5,,,,,37.7906,-122.2412,anonymous,EN,4,2,,5,,,,,,,,,,,,,,,,,,,,,,,1,1,,94806,4,,4,2,5,6,"1,2,3",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-17 21:40:02,2025-11-17 21:41:50,0,99.113.190.237,100,107,1,2025-11-17 21:41:51,R_1EgOw5jT2xFgZet,,,,,37.7794,-122.2178,anonymous,EN,5,"2,3",,5,,,,,,,,,,,,,,,,,,,,,,,4,1,,94601,1,,4,4,4,"1,6","4,6,7",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-17 21:46:30,2025-11-17 21:50:36,0,73.241.170.87,100,245,1,2025-11-17 21:50:36,R_6eRDf6rojFTCyjW,,,,,37.7562,-121.77,anonymous,EN,3,"1,2,3",,3,4,3,1,2,1,5,4,4,3,,1,1,,5,3,2,1,5,6,4,5,6,3,2,,94568,1,,3,6,5,"1,4","4,5,6",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-17 22:26:56,2025-11-17 22:33:25,0,73.92.5.185,100,388,1,2025-11-17 22:33:25,R_5zCRDb4Ma0WZeuJ,,,,,37.9684,-122.2896,anonymous,EN,2,"1,2,3,5",,3,4,4,"1,3,5",3,1,4,5,3,3,3,4,1,,5,1,2,3,4,6,5,5,6,2,2,,94803,1,,2,5,5,6,"1,4,6",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
2025-11-17 22:33:33,2025-11-17 22:39:08,0,67.174.211.71,100,335,1,2025-11-17 22:39:08,R_6dPKiFsx11Hfl6o,,,,,37.7688,-122.262,anonymous,EN,3,"2,5",,4,4,3,1,2,1,5,3,4,4,3,5,1,,3,4,2,1,5,6,3,2,6,3,2,,94501,1,,2,5,5,4,"2,3,4",How often do you purchase coffee or similar beverages from a café or drive-thru?,How much do you typically spend per visit at Dutch Bros?,How would you describe your main reason for visiting Dutch Bros?
